question_id,question,kategori
101,Apa perbedaan antara operator == dan is di Python?,Struktur Data
102,Apa yang dimaksud dengan 'mutable' dalam konteks list di Python?,Sintaks
103,Apa perbedaan antara list dan tuple di Python?,Logika
104,Bagaimana cara melakukan iterasi key di Python?,Struktur Data
105,Bagaimana cara melakukan list comprehension di Python?,Srtuktur Data
106,Apa yang akan terjadi jika kita mencoba mengubah elemen dalam tuple?,Logika
107,Apa output dari kode print(3 + 2 * 2)?,Logika
108,Bagaimana cara menangani input dari pengguna di Python?,Logika
109,Bagaimana cara menambahkan elemen baru ke dalam dictionary di Python?,Struktur Data
110,Apa peran dari '__init__' dalam class di Python?,Struktur Data
101,Apa perbedaan antara operator == dan is di Python?,Struktur Data
102,Apa yang dimaksud dengan 'mutable' dalam konteks list di Python?,Sintaks
103,Apa perbedaan antara list dan tuple di Python?,Logika
104,Bagaimana cara melakukan iterasi key di Python?,Struktur Data
105,Bagaimana cara melakukan list comprehension di Python?,Srtuktur Data
106,Apa yang akan terjadi jika kita mencoba mengubah elemen dalam tuple?,Logika
107,Apa output dari kode print(3 + 2 * 2)?,Logika
108,Bagaimana cara menangani input dari pengguna di Python?,Logika
109,Bagaimana cara menambahkan elemen baru ke dalam dictionary di Python?,Struktur Data
110,Apa peran dari '__init__' dalam class di Python?,Struktur Data
101,Apa perbedaan antara operator == dan is di Python?,Struktur Data
102,Apa yang dimaksud dengan 'mutable' dalam konteks list di Python?,Sintaks
103,Apa perbedaan antara list dan tuple di Python?,Logika
104,Bagaimana cara melakukan iterasi key di Python?,Struktur Data
105,Bagaimana cara melakukan list comprehension di Python?,Srtuktur Data
106,Apa yang akan terjadi jika kita mencoba mengubah elemen dalam tuple?,Logika
107,Apa output dari kode print(3 + 2 * 2)?,Logika
108,Bagaimana cara menangani input dari pengguna di Python?,Logika
109,Bagaimana cara menambahkan elemen baru ke dalam dictionary di Python?,Struktur Data
110,Apa peran dari '__init__' dalam class di Python?,Struktur Data
101,Apa perbedaan antara operator == dan is di Python?,Struktur Data
102,Apa yang dimaksud dengan 'mutable' dalam konteks list di Python?,Sintaks
103,Apa perbedaan antara list dan tuple di Python?,Logika
104,Bagaimana cara melakukan iterasi key di Python?,Struktur Data
105,Bagaimana cara melakukan list comprehension di Python?,Srtuktur Data
106,Apa yang akan terjadi jika kita mencoba mengubah elemen dalam tuple?,Logika
107,Apa output dari kode print(3 + 2 * 2)?,Logika
108,Bagaimana cara menangani input dari pengguna di Python?,Logika
109,Bagaimana cara menambahkan elemen baru ke dalam dictionary di Python?,Struktur Data
110,Apa peran dari '__init__' dalam class di Python?,Struktur Data
101,Apa perbedaan antara operator == dan is di Python?,Struktur Data
102,Apa yang dimaksud dengan 'mutable' dalam konteks list di Python?,Sintaks
103,Apa perbedaan antara list dan tuple di Python?,Logika
104,Bagaimana cara melakukan iterasi key di Python?,Struktur Data
105,Bagaimana cara melakukan list comprehension di Python?,Srtuktur Data
106,Apa yang akan terjadi jika kita mencoba mengubah elemen dalam tuple?,Logika
107,Apa output dari kode print(3 + 2 * 2)?,Logika
108,Bagaimana cara menangani input dari pengguna di Python?,Logika
109,Bagaimana cara menambahkan elemen baru ke dalam dictionary di Python?,Struktur Data
110,Apa peran dari '__init__' dalam class di Python?,Struktur Data
